1,Gold,SPY,GPR,GPRA,GPRT
2/13/2007,669,144.66,95.6817,52.63,131.69
2/14/2007,672,145.61,122.0767,105.25,126.2
2/15/2007,671,145.8,111.8166,128.19,102.28
2/16/2007,673,145.73,96.8941,108.67,85.61
2/20/2007,661,146.04,128.3403,124.49,121.14
2/21/2007,684,145.98,101.4993,122.65,76.73
2/22/2007,683,145.87,84.5182,59.8,108.82
2/23/2007,687,145.3,126.8392,94.1,142.26
2/26/2007,690,145.17,103.1595,99.03,108.02
2/27/2007,687,139.5,89.6154,121.25,74.52
2/28/2007,673,140.93,125.115,166.31,94.13
3/1/2007,665,140.51,99.4846,107.22,89.43
3/2/2007,644,138.67,127.2926,118.05,118.16
3/5/2007,639,137.35,124.7885,113.09,113.2
3/6/2007,646,139.7,100.3808,103.3,96.93
3/7/2007,653,139.56,135.9164,163.86,99.88
3/8/2007,656,140.74,63.3326,82.35,50.37
3/9/2007,652,140.78,91.2796,99.81,78.35
3/12/2007,650,140.99,58.9672,34.58,80.76
3/13/2007,649,138.25,79.5812,99.17,66.17
3/14/2007,643,139.28,104.478,85.78,122.65
3/15/2007,647,139.47,104.1171,49.17,141.26
3/16/2007,654,138.53,122.0263,94.95,138.59
3/19/2007,654,140.2,66.3841,79.42,49.68
3/20/2007,659,140.97,95.0192,52.26,136.23
3/21/2007,660,143.29,65.0799,38.93,81.17
3/22/2007,664,143.18,92.0889,120.66,70.01
3/23/2007,657,143.39,76.4891,93.85,53.82
3/26/2007,664,143.2,105.2185,79.58,114.65
3/27/2007,663,142.86,129.0192,109.33,134.1
3/28/2007,667,141.82,103.8784,109.31,100.77
3/29/2007,668,141.97,102.856,78.41,120.75
3/30/2007,669,142,93.8072,70.14,107.26
4/2/2007,672,142.16,82.9043,64.68,101.91
4/3/2007,670,143.69,104.3328,104.01,92.18
4/4/2007,677,143.85,62.9388,46.23,71.62
4/5/2007,679,144.24,96.1907,77.91,104.98
4/10/2007,682,144.61,81.4856,56.51,94.27
4/11/2007,682,144.02,96.6036,93.2,103.65
4/12/2007,680,144.66,86.149,83.11,92.43
4/13/2007,690,145.32,80.6486,65.51,89.42
4/16/2007,695,146.7,114.4812,117.81,110.55
4/17/2007,693,147.09,88.6416,117.82,70.98
4/18/2007,693,147.27,63.7616,60.54,75.74
4/19/2007,688,147.23,62.1951,75.48,44.97
4/20/2007,696,148.62,99.7585,93.6,107.35
4/23/2007,694,148.06,48.2413,80.15,26.74
4/24/2007,688,148.12,70.2763,63.69,69.06
4/25/2007,687,149.48,119.0144,171.38,65.98
4/26/2007,678,149.65,64.6641,93.77,48.88
4/27/2007,682,149.53,87.091,99.23,72.42
4/30/2007,684,148.29,112.4265,184.13,33.39
5/2/2007,675,149.54,72.087,75.29,62.8
5/3/2007,684,150.35,57.912,69.28,67.42
5/4/2007,690,150.92,87.9999,112.79,62.72
5/7/2007,690,150.95,75.0015,99.69,48.51
5/8/2007,687,150.75,75.9763,68.17,94.77
5/9/2007,683,151.16,108.6088,81.21,124.18
5/10/2007,667,149.58,109.8956,93.91,104.44
5/11/2007,672,150.86,100.7625,119.29,78.55
5/14/2007,670,150.53,99.2976,110.87,79.27
5/15/2007,675,150.57,92.6592,100.07,77.05
5/16/2007,662,151.6,105.6851,118.53,82.39
5/17/2007,657,151.3,93.8662,66.41,110.78
5/18/2007,662,152.62,124.6498,136.69,119.2
5/21/2007,664,152.54,82.5195,117.52,45.75
5/22/2007,660,152.42,91.9176,133.93,52.91
5/23/2007,663,152.44,115.0432,161.91,61.9
5/24/2007,653,151.06,104.3812,128.54,91.9
5/25/2007,655,151.69,125.0663,114.57,134.91
5/29/2007,657,152.24,87.0637,90.93,96.53
5/30/2007,659,153.48,159.3559,141.96,186.08
5/31/2007,667,153.32,111.7274,132.46,85.37
6/1/2007,677,154.08,111.0922,60.41,151.16
6/4/2007,676,154.1,176.0697,212.27,190.67
6/5/2007,675,153.49,123.09,137.15,114.39
6/6/2007,675,151.84,127.911,143.87,125.45
6/7/2007,665,149.1,123.1326,137.72,109.88
6/8/2007,650,151.04,119.3718,95.2,134
6/11/2007,659,151.3,84.116,71.88,79.94
6/12/2007,653,149.65,109.4772,112.66,99.84
6/13/2007,653,151.89,116.8398,125.92,99.78
6/14/2007,656,152.86,106.191,147.03,73.58
6/15/2007,659,153.07,93.2242,92.94,82.69
6/18/2007,660,152.89,143.532,180.75,125.63
6/19/2007,665,153.27,123.0675,136.32,96.65
6/20/2007,660,151.14,121.9552,164.3,71.26
6/21/2007,654,151.98,75.8158,81.4,72.74
6/22/2007,657,150.55,69.579,96.51,35.22
6/25/2007,655,149.83,76.6611,104.58,53.68
6/26/2007,645,148.29,75.5197,75.29,62.8
6/27/2007,645,150.4,91.4029,100.55,99.59
6/28/2007,650,150.38,59.1002,70.7,39.31
6/29/2007,651,150.43,114.1256,145.86,68.13
7/2/2007,659,151.79,153.7154,168.57,140.6
7/3/2007,655,152.34,153.2245,174.57,145.61
7/5/2007,651,152.18,144.5962,144.15,142.1
7/6/2007,655,152.98,121.8563,172.63,80
7/9/2007,663,153,152.302,160.27,154.79
7/10/2007,664,150.92,133.9123,119.45,146.52
7/11/2007,662,151.99,116.3438,135.32,91.37
7/12/2007,668,154.39,98.022,109.22,86.3
7/13/2007,667,154.85,150.7111,183.98,158.57
7/16/2007,666,154.83,176.5582,150.87,181.77
7/17/2007,666,154.75,113.1293,133.93,82.31
7/18/2007,674,154.47,154.2289,193.86,144.97
7/19/2007,678,155.07,82.1298,90.97,86
7/20/2007,685,153.5,89.4425,70.06,100.94
7/23/2007,682,153.97,128.362,140.35,137.73
7/24/2007,685,151.3,82.6346,64.47,83.65
7/25/2007,674,151.61,91.5772,100.74,105.03
7/26/2007,663,148.02,124.3323,135.75,123.08
7/27/2007,660,145.11,108.0521,129.26,97.55
7/30/2007,677,147.38,97.7735,124.76,78.05
7/31/2007,679,145.72,129.9046,115.87,130.76
8/1/2007,676,146.43,124.1396,149.81,108.66
8/2/2007,677,147.6,95.0692,106.62,88.93
8/3/2007,684,143.8,122.3391,143.85,114.77
8/6/2007,683,146.21,104.2416,123.17,89.89
8/7/2007,682,147.77,127.1189,178.91,118.14
8/8/2007,686,149.83,92.2904,105.15,98.67
8/9/2007,673,145.39,75.6294,78.41,70.43
8/10/2007,682,144.71,102.6896,125.49,71.62
8/13/2007,681,145.23,84.7204,84.46,91.58
8/14/2007,680,143.01,66.8455,81.45,61.76
8/15/2007,680,141.04,109.5064,150.11,108.13
8/16/2007,658,142.1,106.0022,123.29,93.04
8/17/2007,667,144.71,82.182,94.53,63.08
8/20/2007,667,144.64,111.3468,126.86,99.2
8/21/2007,666,144.93,60.4873,63.85,47.34
8/22/2007,669,146.65,76.2653,105.78,44.12
